,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
91,Director of Data Analytics,NYC Administration for Children's Services,82000.0,104000.0,1.0,,,,,https://www.linkedin.com/jobs/view/3727187663/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Director
92,Project Manager Analytics Specialist II,City of Detroit,59102.0,79323.0,,1.0,,,,https://www.governmentjobs.com/careers/detroit/jobs/newprint/4184182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
93,Data Scientist,Department of Labor,53105.0,102166.0,,,1.0,,,https://www.usajobs.gov/job/728781500,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,Data Scientist
94,ANALYTICS ENGINEER,City of San Francisco,139542.0,175552.0,,,,,1.0,https://jobs.smartrecruiters.com/CityAndCountyOfSanFrancisco1/3743990000892596-analytics-engineer-housing-team-1043-,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,Data Engineer
95,Data Engineer,The Seattle Public Library,113399.0,137891.0,,,,,1.0,https://www.governmentjobs.com/careers/seattle/jobs/newprint/3967919,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Data Engineer
96,"Manager, Enterprise Applications",State of Colorado,95000.0,115000.0,,,,1.0,,https://www.governmentjobs.com/careers/colorado/jobs/newprint/4062748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manager
97,Director of Digital Services,City of Syracuse,80000.0,85000.0,1.0,,,,,http://www.innovatesyracuse.com/director-of-digital-services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
98,Director of Performance & Data Analytics,City of Stockton,129814.0,165664.0,1.0,,,,,https://www.bobmurrayassoc.com/search-summary?broc_id=5957,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
99,Management and Program Analyst,National Highway Traffic Safety Administration,69107.0,128043.0,,1.0,,,,https://www.usajobs.gov/job/747175800,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
100,Supervisor Data Analyst,City of Minneapolis,81862.0,104432.0,,1.0,,,,https://www.governmentjobs.com/careers/minneapolismn/jobs/newprint/4187296,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Data Analyst
101,"Director, Strategy & Research",ADMIN FOR CHILDREN'S SVCS,103026.0,133630.0,1.0,,,,,https://cityjobs.nyc.gov/job/director-strategy-and-research-in-manhattan-jid-148511,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Director
102,"Director, Technology Ideation",ADMIN FOR CHILDREN'S SVCS,75000.0,160000.0,1.0,,,,,https://cityjobs.nyc.gov/job/director-technology-ideation-in-manhattan-jid-15263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Director
